ID,DLS,MLS,VEB,LAB,DOS,DES,DOB,DFD,CES,CPB,CAD,AFS,AES,AFD,OPB,NAB,HES,NOS,SOS,LAS
IQH6,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
IQH9,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0
IQI1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IQI2,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
IQI8,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
IQI9,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0
IRA4,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
IRA5,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
IRA7,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0
IRA9,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0
IRB1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
IRB4,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0
IRB5,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0
IRB6,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0
IRB7,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0
IRB9,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0
IRC6,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0
IRC7,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0
IRC8,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0
IRC9,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0
IRD1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0
IRD5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
IRD9,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0
IRE2,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0
IRE5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
IRE7,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
IRF4,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
IRG1,0,0,1,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
IRG5,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
IRG6,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
IRG8,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
IRG9,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
IRH7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0
IRH9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
IRI1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
IRI2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
IRI5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0
ISD5,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0
ISE1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
ISE2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ISE7,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0
ISE8,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0
ISF5,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ISF6,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0
ISF7,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0
ISF8,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0
ISG5,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
ISG7,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0
ISG8,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
ISH2,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
ISH6,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1
ISH8,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0
ISI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITB7,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
ITB8,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0
ITC1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ITC5,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ITC6,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
ITC7,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ITD6,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ITE1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITE2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITE4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ITE8,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ITE9,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
ITF3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ITF5,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
ITF9,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
ITG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITG3,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0
ITG5,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0
ITG6,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0
ITG8,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
ITG9,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0
ITI2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
IUC2,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
IUE1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
IUE2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
IUG9,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0
IUH1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
IUH2,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
IUH3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IUH4,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
IUH5,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
IUH6,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
IUH9,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
IUI3,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
IVA2,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
IVA3,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0
IVA7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
IVA9,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0
IVB1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0
IVB6,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
IVB7,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
IVB9,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0
IVC1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
IVC8,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
IVD1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
IVD2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IVD5,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0
IVE5,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0
IVF7,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
IVG1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
IVG2,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
IVG4,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0
