Species ID,Tribe,Origin
Gnaper,Limnochromini,Lake Tanganyika
Gnapfe,Tropheini,Lake Tanganyika
Gralem,Ectodini,Lake Tanganyika
Benmel,Benthochromini,Lake Tanganyika
EctspN,Ectodini,Lake Tanganyika
Cphfro,Cyphotilapiini,Lake Tanganyika
Cphfro  Kabogo,Cyphotilapiini,Lake Tanganyika
Gwcabe,Limnochromini,Lake Tanganyika
Gwcbel,Limnochromini,Lake Tanganyika
Gwcchr,Limnochromini,Lake Tanganyika
Gwcsta,Limnochromini,Lake Tanganyika
Hapmic,Perissodini,Lake Tanganyika
Hemste,Bathybatini,Lake Tanganyika
Hplsta,Haplochromini,Lake Tanganyika
Intloo,Tropheini,Lake Tanganyika
Juldic,Lamprologini,Lake Tanganyika
Julmrk,Lamprologini,Lake Tanganyika
Julorn,Lamprologini,Lake Tanganyika
Jultra,Lamprologini,Lake Tanganyika
Lamcal,Lamprologini,Lake Tanganyika
Lamkun,Lamprologini,Lake Tanganyika
HplspC,Haplochromini,Lake Tanganyika
Julkom,Lamprologini,Lake Tanganyika
Julreg,Lamprologini,Lake Tanganyika
Julkaz,Lamprologini,Lake Tanganyika
Julunt,Lamprologini,Lake Tanganyika
JulmaS,Lamprologini,Lake Tanganyika
JulreK,Lamprologini,Lake Tanganyika
Lamlem,Lamprologini,Lake Tanganyika
Lammel,Lamprologini,Lake Tanganyika
Lamoce,Lamprologini,Lake Tanganyika
Lamsig,Lamprologini,Lake Tanganyika
Lamspe,Lamprologini,Lake Tanganyika
Lamsta,Lamprologini,Lake Tanganyika
Lchaur,Limnochromini,Lake Tanganyika
Lepatt,Lamprologini,Lake Tanganyika
Lepcun,Lamprologini,Lake Tanganyika
Lepelo,Lamprologini,Lake Tanganyika
Lepkam,Lamprologini,Lake Tanganyika
Lepken,Lamprologini,Lake Tanganyika
Lepmim,Lamprologini,Lake Tanganyika
Leppro,Lamprologini,Lake Tanganyika
Lesper,Ectodini,Lake Tanganyika
Lessta,Ectodini,Lake Tanganyika
Limdar,Tropheini,Lake Tanganyika
Loblab,Tropheini,Lake Tanganyika
Mdcrot,Ectodini,Lake Tanganyika
Mdcten,Ectodini,Lake Tanganyika
Neobif,Lamprologini,Lake Tanganyika
Neobre,Lamprologini,Lake Tanganyika
Lamorn,Lamprologini,Lake Tanganyika
LepatK,Lamprologini,Lake Tanganyika
LepmeK,Lamprologini,Lake Tanganyika
LamorS,Lamprologini,Lake Tanganyika
Neobri,Lamprologini,Lake Tanganyika
Neobue,Lamprologini,Lake Tanganyika
Neocal,Lamprologini,Lake Tanganyika
Neocan,Lamprologini,Lake Tanganyika
Neocau,Lamprologini,Lake Tanganyika
Neochi,Lamprologini,Lake Tanganyika
Neochr,Lamprologini,Lake Tanganyika
Neocra,Lamprologini,Lake Tanganyika
Neocyl,Lamprologini,Lake Tanganyika
Neofur,Lamprologini,Lake Tanganyika
Neohec,Lamprologini,Lake Tanganyika
Neohel,Lamprologini,Lake Tanganyika
Neople,Lamprologini,Lake Tanganyika
Neolon,Lamprologini,Lake Tanganyika
Neolou,Lamprologini,Lake Tanganyika
NeofaM,Lamprologini,Lake Tanganyika
Neofal,Lamprologini,Lake Tanganyika
NeobrM,Lamprologini,Lake Tanganyika
NeocaK,Lamprologini,Lake Tanganyika
NeobriK,Lamprologini,Lake Tanganyika
Neocyg,Lamprologini,Lake Tanganyika
Neoese,Lamprologini,Lake Tanganyika
Neogra,Lamprologini,Lake Tanganyika
NeogrM,Lamprologini,Lake Tanganyika
Neokom,Lamprologini,Lake Tanganyika
Neoleu,Lamprologini,Lake Tanganyika
NeoleL,Lamprologini,Lake Tanganyika
NeofuU,Lamprologini,Lake Tanganyika
Neomar,Lamprologini,Lake Tanganyika
Neomee,Lamprologini,Lake Tanganyika
Neomod,Lamprologini,Lake Tanganyika
Neomon,Lamprologini,Lake Tanganyika
Neomul,Lamprologini,Lake Tanganyika
Neomux,Lamprologini,Lake Tanganyika
Neonig,Lamprologini,Lake Tanganyika
Neonve,Lamprologini,Lake Tanganyika
Neoobs,Lamprologini,Lake Tanganyika
Neooli,Lamprologini,Lake Tanganyika
Neopec,Lamprologini,Lake Tanganyika
Neopet,Lamprologini,Lake Tanganyika
Neopro,Lamprologini,Lake Tanganyika
Neovar,Lamprologini,Lake Tanganyika
Neowal,Lamprologini,Lake Tanganyika
Neowau,Lamprologini,Lake Tanganyika
Ophboo,Ectodini,Lake Tanganyika
Regcal,Limnochromini,Lake Tanganyika
NeomoM,Lamprologini,Lake Tanganyika
NeoveS,Lamprologini,Lake Tanganyika
Neoven,Lamprologini,Lake Tanganyika
NeoveB,Lamprologini,Lake Tanganyika
Simbab,Tropheini,Lake Tanganyika
Simdia,Tropheini,Lake Tanganyika
Spaery,Eretmodini,Lake Tanganyika
Spamar,Eretmodini,Lake Tanganyika
Pettre,Tropheini,Lake Tanganyika
Pleela,Perissodini,Lake Tanganyika
Plemul,Perissodini,Lake Tanganyika
Tchdha,Limnochromini,Lake Tanganyika
Simmrg,Tropheini,Lake Tanganyika
Simple,Tropheini,Lake Tanganyika
Cphfr5,Cyphotilapiini,Lake Tanganyika
TeldhS,Lamprologini,Lake Tanganyika
TeldhT,Lamprologini,Lake Tanganyika
Telshe,Lamprologini,Lake Tanganyika
TelteS,Lamprologini,Lake Tanganyika
TelteN,Lamprologini,Lake Tanganyika
TeldhN,Lamprologini,Lake Tanganyika
Telbif,Lamprologini,Lake Tanganyika
Telbra,Lamprologini,Lake Tanganyika
Telbri,Lamprologini,Lake Tanganyika
Telvit,Lamprologini,Lake Tanganyika
Trecap,Trematocarini,Lake Tanganyika
Trekuf,Trematocarini,Lake Tanganyika
Tremac,Trematocarini,Lake Tanganyika
Pcytem,Cyprichromini,Lake Tanganyika
Pcybri,Cyprichromini,Lake Tanganyika
PcybrN,Cyprichromini,Lake Tanganyika
OphpaK,Ectodini,Lake Tanganyika
Ophpar,Ectodini,Lake Tanganyika
Lepnka,Lamprologini,Lake Tanganyika
Tremar,Trematocarini,Lake Tanganyika
Trenig,Trematocarini,Lake Tanganyika
Tresti,Trematocarini,Lake Tanganyika
Ophhet,Ectodini,Lake Tanganyika
TreniN,Trematocarini,Lake Tanganyika
Ophnas,Ectodini,Lake Tanganyika
Ophven,Ectodini,Lake Tanganyika
Ophwhi,Ectodini,Lake Tanganyika
Treuni,Trematocarini,Lake Tanganyika
Pcynig,Cyprichromini,Lake Tanganyika
Trevar,Trematocarini,Lake Tanganyika
Trezeb,Trematocarini,Lake Tanganyika
Trioto,Limnochromini,Lake Tanganyika
Troann,Tropheini,Lake Tanganyika
Trobri,Tropheini,Lake Tanganyika
Trodub,Tropheini,Lake Tanganyika
Tromoo,Tropheini,Lake Tanganyika
Trompi,Tropheini,Lake Tanganyika
Tronig,Tropheini,Lake Tanganyika
Tylpol,Tylochromini,Lake Tanganyika
Varmoo,Lamprologini,Lake Tanganyika
Xchhec,Perissodini,Lake Tanganyika
Xenbat,Ectodini,Lake Tanganyika
Xenbou,Ectodini,Lake Tanganyika
Xenbur,Ectodini,Lake Tanganyika
Xencau,Ectodini,Lake Tanganyika
Altcal,Lamprologini,Lake Tanganyika
Altcom,Lamprologini,Lake Tanganyika
Tanirs,Eretmodini,Lake Tanganyika
Perecc,Perissodini,Lake Tanganyika
Permic,Perissodini,Lake Tanganyika
Troluk,Tropheini,Lake Tanganyika
TrobrK,Tropheini,Lake Tanganyika
Trokir,Tropheini,Lake Tanganyika
Tromor,Tropheini,Lake Tanganyika
Trored,Tropheini,Lake Tanganyika
Trolun,Tropheini,Lake Tanganyika
Tropol,Tropheini,Lake Tanganyika
Petkas,Tropheini,Lake Tanganyika
Peteph,Tropheini,Lake Tanganyika
Petfam,Tropheini,Lake Tanganyika
Petfas,Tropheini,Lake Tanganyika
Petgia,Tropheini,Lake Tanganyika
Pethor,Tropheini,Lake Tanganyika
Petiko,Tropheini,Lake Tanganyika
Petmac,Tropheini,Lake Tanganyika
Neopul,Lamprologini,Lake Tanganyika
Neosav,Lamprologini,Lake Tanganyika
Neosch,Lamprologini,Lake Tanganyika
Neosex,Lamprologini,Lake Tanganyika
Neosim,Lamprologini,Lake Tanganyika
Neospl,Lamprologini,Lake Tanganyika
Petkip,Tropheini,Lake Tanganyika
NeopuD,Lamprologini,Lake Tanganyika
Xenspi,Ectodini,Lake Tanganyika
XenspN,Ectodini,Lake Tanganyika
Xenpap,Ectodini,Lake Tanganyika
Xensun,Ectodini,Lake Tanganyika
Petmos,Tropheini,Lake Tanganyika
Petort,Tropheini,Lake Tanganyika
Petpol,Tropheini,Lake Tanganyika
Petrai,Tropheini,Lake Tanganyika
Xensim,Ectodini,Lake Tanganyika
Xensin,Ectodini,Lake Tanganyika
Tre sp.,Trematocarini,Lake Tanganyika
Neotet,Lamprologini,Lake Tanganyika
Neotim,Lamprologini,Lake Tanganyika
XenniS,Ectodini,Lake Tanganyika
XenniN,Ectodini,Lake Tanganyika
Xenorn,Ectodini,Lake Tanganyika
XenorS,Ectodini,Lake Tanganyika
XenpaK,Ectodini,Lake Tanganyika
Xenfla,Ectodini,Lake Tanganyika
Xenkil,Ectodini,Lake Tanganyika
Xenlon,Ectodini,Lake Tanganyika
Xennas,Ectodini,Lake Tanganyika
Xenoch,Ectodini,Lake Tanganyika
