DNA_Tube	specimenID	speciesID	speciesIDTribe	sex	Assembly.status
JWE2	S_JWE2	Aussci	Heroini	M	done
JWF1	S_JWF1	Htcmul	Heterochromini	Juvenile	done
JWE3	S_JWE3	Hetbut	Heterotilapini	NA	done
ISB1	S_ISB1	Altcom	Lamprologini	M	done
ISC9	S_ISC9	Altcom	Lamprologini	F	done
AUE7	S_AUE7	Altfas	Lamprologini	M	done
AXD5	S_AXD5	Altfas	Lamprologini	F	done
AVA9	S_AVA9	Chabri	Lamprologini	F	done
AVB2	S_AVB2	Chabri	Lamprologini	M	done
IRC4	S_IRC4	Juldic	Lamprologini	M	done
IRC5	S_IRC5	Juldic	Lamprologini	F	done
ISB7	S_ISB7	Julorn	Lamprologini	M	done
ISC1	S_ISC1	Julorn	Lamprologini	F	done
IRB2	S_IRB2	Julreg	Lamprologini	F	done
IRB8	S_IRB8	Julreg	Lamprologini	M	done
ILC1	S_ILC1	Lamoce	Lamprologini	M	done
ILD3	S_ILD3	Lamoce	Lamprologini	F	done
AVD4	S_AVD4	Lepatt	Lamprologini	M	done
AVG5	S_AVG5	Lepatt	Lamprologini	F	done
AUG8	S_AUG8	Lepelo	Lamprologini	F	done
AUE6	S_AUE6	Lepelo	Lamprologini	M	done
ILB6	S_ILB6	Neobre	Lamprologini	M	done
ILB7	S_ILB7	Neobre	Lamprologini	F	done
JEI4	S_JEI4	Neobue	Lamprologini	M	done
JEI5	S_JEI5	Neobue	Lamprologini	F	done
IQA4	S_IQA4	Neocau	Lamprologini	F	done
LFD2	S_LFD2	Neocyg	Lamprologini	M	done
LFD4	S_LFD4	Neocyg	Lamprologini	F	done
GPH2	S_GPH2	Neocyl	Lamprologini	F	done
IMG9	S_IMG9	Neomod	Lamprologini	M	done
IMH3	S_IMH3	Neomod	Lamprologini	F	done
IRF8	S_IRF8	Neomul	Lamprologini	F	done
KYA1	S_KYA1	Neonig	Lamprologini	M	done
KYA5	S_KYA5	Neonig	Lamprologini	F	done
ISA6	S_ISA6	Neopul	Lamprologini	M	done
ISB3	S_ISB3	Neopul	Lamprologini	F	done
ISA8	S_ISA8	Neosav	Lamprologini	M	done
IYA4	S_IYA4	Neosav	Lamprologini	F	done
IPF7	S_IPF7	Neotet	Lamprologini	M	done
IPG3	S_IPG3	Neotet	Lamprologini	F	done
JZD5	S_JZD5	Neotoa	Lamprologini	M	done
JZD6	S_JZD6	Neotoa	Lamprologini	F	done
KFD2	S_KFD2	Neowal	Lamprologini	F	done
KFD4	S_KFD4	Neowal	Lamprologini	M	done
LBF7	S_LBF7	TeldhS	Lamprologini	F	done
LBF8	S_LBF8	TeldhS	Lamprologini	M	done
IMB3	S_IMB3	TelteS	Lamprologini	M	done
IMB4	S_IMB4	TelteS	Lamprologini	F	done
JBD5	S_JBD5	Telvit	Lamprologini	M	done
JBD6	S_JBD6	Telvit	Lamprologini	F	done
AUC3	S_AUC3	Varmoo	Lamprologini	F	done
