Species ID	Full Name	Tribe	Origin	Breeding type	Breeding mode	Fishbase Link
Batfer	Bathybates ferox	Bathybatini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8141
Batgra	Bathybates graueri	Bathybatini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8142
Bathor	Bathybates hornii	Bathybatini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8143
Batleo	Bathybates leo	Bathybatini	Lake Tanganyika	Mouthbrooding	maternal open water brooding	http://www.fishbase.org/summary/8144
Batmin	Bathybates minor	Bathybatini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8145
Batvit	Bathybates vittatus	Bathybatini	Lake Tanganyika	Mouthbrooding	maternal open water brooding	http://www.fishbase.org/summary/8146
Bencon	Benitochromis conjunctus	Chromidotilapini	Cameroon	Mouthbrooding	biparental brooding	http://www.fishbase.org/summary/60333
BenhoK	Benthochromis horii Kigoma	Benthochromini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.se/summary/63692
BenhoM	Benthochromis horii Mahale	Benthochromini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.se/summary/63692
Benhor	Benthochromis horii	Benthochromini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.se/summary/63692
Benmel	Benthochromis melanoides	Benthochromini	Lake Tanganyika	Mouthbrooding	NA	http://www.fishbase.org/summary/8147
Bujvit	Bujurquina vittata	Cichlasomini	Paraguay	Substrate spawning	open spawning	http://www.fishbase.org/summary/46731
Calmac	Callochromis macrops	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8122
Calmel	Callochromis melanostigma	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8149
Calple	Callochromis pleurospilus	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8151
CalplK	Callochromis pleurospilus Kigoma	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8151
Carsch	Cardiopharynx schoutedeni	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8153
Chabif	Chalinochromis bifrenatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Chabri	Chalinochromis brichardi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8154
Chacya	Chalinochromis cyanophleps	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/67481
Chando	Chalinochromis Ndobhoi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Chapop	Chalinochromis popelini	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8155
Copbak	Coptodon bakossiorum	Coptodini	Cameroon	Substrate spawning	cave spawning	NA
Copren	Coptodon rendalli	Coptodini	Lake Tanganyika	Substrate spawning	open spawning	http://www.fishbase.se/summary/1397
Ctehor	Ctenochromis horei	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/6751
Ctepol	Ctenochromis polli	Haplochromini	Congo River	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/6833
Cunlon	Cunningtonia longiventralis	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8165
Cyafoa	Cyathopharynx foae	Ectodini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	NA
