sample_id	n_sites	n_sites_missing_before	n_sites_missing_after	n_sites_nonmissing_before	n_sites_nonmissing_after	call_probability
IXF4	59265041	1380157	9287979	57884884	49977062	0.86338709774386
IYA4	59265041	4872124	44333860	54392917	14931181	0.2745059802547453
IYA5	59265041	7009126	50516091	52255915	8748950	0.167425065660031
IYA6	59265041	7227017	50879414	52038024	8385627	0.1611442240773785
IYA7	59265041	2674402	34177039	56590639	25088002	0.44332423954428224
IYA8	59265041	3556615	43176675	55708426	16088366	0.2887959175152427
IZA1	59265041	3182520	35040821	56082521	24224220	0.4319388566715822
IZA2	59265041	3715712	39741676	55549329	19523365	0.35145996092950105
IZA5	59265041	1549210	12321734	57715831	46943307	0.8133523538801685
IZA8	59265041	1169808	9931166	58095233	49333875	0.8491897261174596
IZA9	59265041	1872576	23634110	57392465	35630931	0.6208294242110005
IZB2	59265041	1076570	13601242	58188471	45663799	0.7847568120495897
IZC5	59265041	1290969	7741821	57974072	51523220	0.8887286716723987
IZC7	59265041	3434668	37168327	55830373	22096714	0.3957830265615456
IZE1	59265041	4497422	27627248	54767619	31637793	0.5776733328502012
IZE4	59265041	1565021	23752568	57700020	35512473	0.6154672563371728
IZF1	59265041	3849683	41931369	55415358	17333672	0.3127954528417916
IZH7	59265041	1321961	5621404	57943080	53643637	0.9257988529432678
IZI3	59265041	1586275	12973893	57678766	46291148	0.8025682796334443
IZI7	59265041	3476448	35873028	55788593	23392013	0.4192974180223545
IZI8	59265041	5227435	43920706	54037606	15344335	0.28395660237057874
JAB1	59265041	3584307	34758270	55680734	24506771	0.440130171416203
JAB7	59265041	4960313	44216050	54304728	15048991	0.27712119283610076
JAE1	59265041	3379817	37264456	55885224	22000585	0.3936744531971456
JAE7	59265041	867434	7930064	58397607	51334977	0.8790595991373413
JAE9	59265041	1974006	23347753	57291035	35917288	0.6269268481534677
JAF5	59265041	2843827	35412534	56421214	23852507	0.4227577768886717
JAF7	59265041	1425203	7690810	57839838	51574231	0.8916731578674201
JAF9	59265041	1516646	9803206	57748395	49461835	0.8565057955290359
JAH7	59265041	1759061	24498756	57505980	34766285	0.6045681683887485
JBD5	59265041	3762641	39322838	55502400	19942203	0.35930343552711236
JBD6	59265041	2734184	35101681	56530857	24163360	0.42743664756400207
JBE6	59265041	3952790	36674946	55312251	22590095	0.40841033571387286
JBE7	59265041	1765794	12364445	57499247	46900596	0.8156732209032234
JBE8	59265041	5266813	44235451	53998228	15029590	0.2783348742480957
JBE9	59265041	3508161	40075294	55756880	19189747	0.3441682353818937
JBG3	59265041	4528650	42486653	54736391	16778388	0.3065307685338626
JBH4	59265041	5265134	45524838	53999907	13740203	0.25444864192080924
JBH5	59265041	3186759	37329407	56078282	21935634	0.39116094890353453
JCF2	59265041	847692	7402572	58417349	51862469	0.8877922378846737
JDD7	59265041	1445350	11109888	57819691	48155153	0.832850403852902
JDD8	59265041	4221690	41013026	55043351	18252015	0.3315934562196259
JDE3	59265041	3025367	33182270	56239674	26082771	0.4637788440950067
JDE4	59265041	1987319	20411617	57277722	38853424	0.6783339602786578
JDE6	59265041	2931637	28564079	56333404	30700962	0.5449868074721705
JDE7	59265041	3284021	29233987	55981020	30031054	0.5364506398775871
JDF3	59265041	4707605	44526948	54557436	14738093	0.270139032926694
JDF4	59265041	1226024	9041311	58039017	50223730	0.8653442562612664
JDF5	59265041	3007410	34052968	56257631	25212073	0.4481538335661521
JDG4	59265041	5843602	46985003	53421439	12280038	0.22987096996769404
JDI1	59265041	3517030	36033312	55748011	23231729	0.41672749544373877
JDI2	59265041	2075632	24780250	57189409	34484791	0.60299261004778
JDI4	59265041	1951829	30588568	57313212	28676473	0.5003466390960605
JEB2	59265041	2735112	29074721	56529929	30190320	0.5340590468457868
JEB4	59265041	4421734	39006485	54843307	20258556	0.36938975981152994
JEC7	59265041	1297059	7119642	57967982	52145399	0.8995551889317106
JED2	59265041	1322013	8287667	57943028	50977374	0.8797844323910722
JED4	59265041	3064092	34721561	56200949	24543480	0.43670935165169544
JED5	59265041	981499	8410496	58283542	50854545	0.8725369676400243
JEG5	59265041	2470721	29658243	56794320	29606798	0.5212985735193237
JEG6	59265041	4678583	44219413	54586458	15045628	0.2756293145087377
JEI4	59265041	4261346	41176766	55003695	18088275	0.32885563415330554
JEI5	59265041	3993678	40262940	55271363	19002101	0.3437964972928205
JEI6	59265041	1501076	20419413	57763965	38845628	0.6724889470450999
JEI8	59265041	1124469	10128080	58140572	49136961	0.8451406532429712
JUA3	59265041	2514302	31462365	56750739	27802676	0.4899086159917671
JUA4	59265041	1374538	11166476	57890503	48098565	0.8308541558189605
JUB6	59265041	4190045	40851847	55074996	18413194	0.33432946595220814
JUB7	59265041	2952701	31205583	56312340	28059458	0.49828257891609545
JUD4	59265041	5527637	46245073	53737404	13019968	0.242288741748671
JUD5	59265041	1209084	14558370	58055957	44706671	0.7700617354391385
JUH9	59265041	2048346	29386043	57216695	29878998	0.522207687808602
JUI1	59265041	5195948	46886774	54069093	12378267	0.22893424529980558
JVB4	59265041	1468477	16721346	57796564	42543695	0.7360938446098629
JVB8	59265041	1941127	25288128	57323914	33976913	0.592717953627521
JVC3	59265041	1353855	18410066	57911186	40854975	0.7054763996717318
JVC9	59265041	2154315	31021838	57110726	28243203	0.4945341265666978
JVE1	59265041	6588710	48587386	52676331	10677655	0.20270308879333301
JVF2	59265041	4803455	44773380	54461586	14491661	0.2660895883568282
JVH2	59265041	4343784	40920927	54921257	18344114	0.33400754101458385
JVH3	59265041	7792781	50443431	51472260	8821610	0.17138571339202902
JVH4	59265041	2529823	25486313	56735218	33778728	0.5953749574030014
JVI5	59265041	1852144	16493209	57412897	42771832	0.7449864792574393
JVI9	59265041	2333707	30503366	56931334	28761675	0.5051993863344217
JWA1	59265041	998203	7965562	58266838	51299479	0.8804232520735036
JWA2	59265041	957399	6484070	58307642	52780971	0.9052153232332736
JWA3	59265041	4207884	43121854	55057157	16143187	0.2932077840488567
JWA4	59265041	4650602	44917670	54614439	14347371	0.26270289071357117
JWA5	59265041	1136108	8005903	58128933	51259138	0.8818179752241453
JWA6	59265041	1077462	6503439	58187579	52761602	0.906750253348743
JWA7	59265041	1266686	16820459	57998355	42444582	0.7318238939707858
JWA8	59265041	9196945	49575107	50068096	9689934	0.19353510067568777
JWA9	59265041	2148306	19131142	57116735	40133899	0.7026644467685347
JWC8	59265041	3894512	41341830	55370529	17923211	0.323695859940222
JWC9	59265041	1160281	12432448	58104760	46832593	0.806002692378387
JWD1	59265041	1156303	6159985	58108738	53105056	0.9138910571418708
JWD2	59265041	1173408	6639721	58091633	52625320	0.9059018877985406
JWE3	59265041	3506962	42954521	55758079	16310520	0.2925229902558157
JWE7	59265041	2355105	10970172	56909936	48294869	0.848619281525813
JWE8	59265041	2332430	15748380	56932611	43516661	0.7643538603911912
JWF3	59265041	1245290	9090982	58019751	50174059	0.8647754968820877
JWF4	59265041	1293673	10249759	57971368	49015282	0.8455084585894195
JWF5	59265041	1187170	6719080	58077871	52545961	0.9047501241910193
JWF6	59265041	1266471	9507390	57998570	49757651	0.8579116864433037
JWF7	59265041	1463362	8145695	57801679	51119346	0.884392060652771
JWF8	59265041	1354726	8776949	57910315	50488092	0.8718324533375444
JWF9	59265041	1131901	10023314	58133140	49241727	0.8470508732196472
JWG1	59265041	1986262	8717258	57278779	50547783	0.8824870900268318
JWG2	59265041	1607259	10261712	57657782	49003329	0.8498996544820264
JWG3	59265041	5005483	44149275	54259558	15115766	0.27858254945607924
JWG4	59265041	976224	8664751	58288817	50600290	0.8680960191729401
JWG5	59265041	2551335	36120837	56713706	23144204	0.40808837285293964
JWG8	59265041	7897849	51086584	51367192	8178457	0.15921557479723633
JWG9	59265041	1390360	18235982	57874681	41029059	0.7089293330186995
JWH1	59265041	1222401	16163346	58042640	43101695	0.7425867431253989
JWH2	59265041	1136112	13064818	58128929	46200223	0.7947888219306432
JWH3	59265041	1350680	17757664	57914361	41507377	0.7167026672365426
JWH4	59265041	1311005	16966236	57954036	42298805	0.7298681493036999
JWH5	59265041	1373949	18601057	57891092	40663984	0.7024221273974242
JWH6	59265041	1233886	15413201	58031155	43851840	0.755660300057788
JWH9	59265041	1349521	17964236	57915520	41300805	0.7131215432409137
JWI2	59265041	2351544	32174044	56913497	27090997	0.4760030296504184
JWI3	59265041	1345790	16941272	57919251	42323769	0.7307375055661545
JWI6	59265041	1310858	17607820	57954183	41657221	0.7187957597469712
JXA4	59265041	2411949	31662445	56853092	27602596	0.48550738454119613
JXB5	59265041	1740132	24305772	57524909	34959269	0.6077240209106632
JXC1	59265041	1959486	26467862	57305555	32797179	0.5723211126739808
JXD4	59265041	1966361	25827969	57298680	33437072	0.583557457170043
JXD7	59265041	1447131	16354773	57817910	42910268	0.7421622123663757
JXE9	59265041	1869959	19782011	57395082	39483030	0.6879166058165054
JXF4	59265041	5223712	45903064	54041329	13361977	0.24725478161353137
JXG8	59265041	1423698	11541915	57841343	47723126	0.825069466315815
JXH2	59265041	1395903	10940729	57869138	48324312	0.8350618943036615
JXH4	59265041	19433605	57926207	39831436	1338834	0.033612496421168446
JXH5	59265041	1117048	11125685	58147993	48139356	0.8278764840602495
JXI2	59265041	4028161	42141881	55236880	17123160	0.3099950612706583
JXI4	59265041	6462767	49243820	52802274	10021221	0.1897876784624844
JYD3	59265041	1640597	15006492	57624444	44258549	0.7680516448887559
JYD5	59265041	10313524	54142313	48951517	5122728	0.10464901424811819
JYF7	59265041	2166622	21696177	57098419	37568864	0.6579667993959692
JYG5	59265041	3178757	33883949	56086284	25381092	0.45253652390306337
JYH3	59265041	2144967	22802150	57120074	36462891	0.6383551078732846
