sample_id	n_sites	n_sites_missing_before	n_sites_missing_after	n_sites_nonmissing_before	n_sites_nonmissing_after	call_probability
IRD7	60044929	2280826	10861090	57764103	49183839	0.8514602745584052
IRD8	60044929	4955002	23630245	55089927	36414684	0.6610043974100747
IRD9	60044929	4123621	20648383	55921308	39396546	0.704499723075147
IRE3	60044929	5276168	25545552	54768761	34499377	0.629909758228783
IRF6	60044929	5004553	25112591	55040376	34932338	0.6346675029981627
IRF8	60044929	6490291	30291745	53554638	29753184	0.5555668959988115
IRH2	60044929	7766730	33152907	52278199	26892022	0.5144022272075593
IRH4	60044929	7536972	31776193	52507957	28268736	0.5383705178245651
IRI8	60044929	2704031	15525337	57340898	44519592	0.7764020716940987
IRI9	60044929	4523541	23978321	55521388	36066608	0.649598457444904
ISA1	60044929	8306535	29887456	51738394	30157473	0.5828838251144788
ISA3	60044929	3457944	9766948	56586985	50277981	0.8885078609507115
ISA6	60044929	4401634	24116617	55643295	35928312	0.6456898715289956
ISA8	60044929	2126367	13633632	57918562	46411297	0.8013199119135589
ISB1	60044929	3163322	16631083	56881607	43413846	0.763231706867916
ISB3	60044929	3444742	19456460	56600187	40588469	0.7171083904722788
ISB7	60044929	5420038	26878418	54624891	33166511	0.6071684609860366
ISC1	60044929	2464450	14704639	57580479	45340290	0.78742467564398
ISC9	60044929	2218241	12287020	57826688	47757909	0.8258800676946949
ISD8	60044929	3673807	20802101	56371122	39242828	0.6961512669554457
ISE5	60044929	4967028	26611946	55077901	33432983	0.6070126564917571
ISI2	60044929	2724572	14284949	57320357	45759980	0.7983198708968264
ISI6	60044929	3345243	17486445	56699686	42558484	0.7505947034697864
ITA4	60044929	1993922	13239638	58051007	46805291	0.8062787093426304
ITA6	60044929	855181	4390945	59189748	55653984	0.9402639119193412
ITB1	60044929	2384406	16642883	57660523	43402046	0.7527168284616496
ITB3	60044929	2637199	16578047	57407730	43466882	0.757160786535193
ITB4	60044929	3736354	22568608	56308575	37476321	0.6655526445128472
ITC2	60044929	3916168	23775219	56128761	36269710	0.6461876113744965
ITD7	60044929	3998643	20961857	56046286	39083072	0.697335627199276
ITG2	60044929	2559999	14999523	57484930	45045406	0.7836037375360811
ITH3	60044929	1964077	8891564	58080852	51153365	0.8807268357564727
IUD8	60044929	3454681	11224483	56590248	48820446	0.86270069005529
IUD9	60044929	3717425	13619613	56327504	46425316	0.8242033234776389
IUE5	60044929	3671978	12101810	56372951	47943119	0.850463176923273
IUE7	60044929	4950412	18844379	55094517	41200550	0.7478157944464783
IUF7	60044929	2729903	15169587	57315026	44875342	0.782959463370042
IUF8	60044929	2944174	15655264	57100755	44389665	0.7773919101419937
IUI1	60044929	6040485	28195535	54004444	31849394	0.5897550579356025
IUI4	60044929	3836298	21223382	56208631	38821547	0.6906687871476536
IUI5	60044929	2469727	15914139	57575202	44130790	0.7664895383258925
IUI7	60044929	3942636	23784404	56102293	36260525	0.6463287516608278
IUI8	60044929	4961625	23584299	55083304	36460630	0.6619179924283409
IVB4	60044929	2503412	13060119	57541517	46984810	0.8165375619137744
IVB5	60044929	4333508	22147391	55711421	37897538	0.6802471974283334
IVE8	60044929	2426283	13982615	57618646	46062314	0.799434162336963
IVF1	60044929	2100064	13444820	57944865	46600109	0.8042146443865216
IVF4	60044929	1887097	9002101	58157832	51042828	0.8776604327341501
IVF5	60044929	6057181	26933838	53987748	33111091	0.6133075045100974
IVH1	60044929	3140803	18129922	56904126	41915007	0.7365899442862895
IVH2	60044929	3848412	21201246	56196517	38843683	0.6912115745536329
IWB5	60044929	3812414	21676310	56232515	38368619	0.6823208778764386
IWB6	60044929	1940786	11836127	58104143	48208802	0.8296964641574698
IWC9	60044929	1007120	4790281	59037809	55254648	0.9359196917351726
IWD4	60044929	2648716	16427184	57396213	43617745	0.7599411654563342
IWD5	60044929	3280375	16822672	56764554	43222257	0.7614303989775028
IWD6	60044929	2150690	12185383	57894239	47859546	0.8266719940821746
IWD7	60044929	6445152	28252271	53599777	31792658	0.5931490722433416
IWD8	60044929	3785931	19698133	56258998	40346796	0.7171616529679394
IXA3	60044929	3770188	15078226	56274741	44966703	0.7990565962800256
IXA4	60044929	2043939	14241636	58000990	45803293	0.7896984689399267
IXA5	60044929	4545648	21499669	55499281	38545260	0.6945181866410125
IXA6	60044929	3435403	14270034	56609526	45774895	0.8086076361070397
IXB5	60044929	1356246	10025439	58688683	50019490	0.8522850989857789
IXB6	60044929	3118730	20355491	56926199	39689438	0.6972086437740205
IXB8	60044929	3583942	20983879	56460987	39061050	0.6918237189158596
IXB9	60044929	3582090	18961078	56462839	41083851	0.7276263774125846
IXC1	60044929	3691398	20517854	56353531	39527075	0.7014125698707326
IXC2	60044929	5154238	25493543	54890691	34551386	0.6294580259519779
IXC3	60044929	5148375	24567626	54896554	35477303	0.6462573771023952
IXF4	60044929	1409742	5697986	58635187	54346943	0.9268656890273071
IYA4	60044929	4973312	25864230	55071617	34180699	0.6206590774336624
IYA5	60044929	7147235	32761244	52897694	27283685	0.5157821246423332
IYA6	60044929	7373903	33224333	52671026	26820596	0.509209674404292
