DNA Tube ID,Tribe,Genome Sequenced (y/n),Species ID
IVF1,Lamprologini,true,Neocra
IVH1,Lamprologini,true,Neopro
IVH2,Lamprologini,true,Neopro
IWC9,Tropheini,true,Pettre
IWD4,Tropheini,true,Pettre
IVF4,Ectodini,true,Xenpap
IVF5,Ectodini,true,Xenpap
IWB5,Tropheini,true,Pethor
IWB6,Tropheini,true,Pethor
ILA7,Lamprologini,true,Neocal
JDE6,Bathybatini,true,Batvit
JDE7,Bathybatini,true,Batvit
JDF3,Lamprologini,true,Neomee
JDF4,Lamprologini,true,Neomee
JDF5,Lamprologini,true,LamorS
JDG4,Lamprologini,true,LamorS
JDI1,Lamprologini,true,Neolap
JDI2,Lamprologini,true,Neolap
JDI4,Perissodini,true,Plepar
KEE9,Lamprologini,true,Chando
KEF1,Lamprologini,true,Chando
KEF2,Tropheini,true,Troluk
KEF3,Tropheini,true,Troluk
JWA1,Lamprologini,true,Julunt
JWA2,Lamprologini,true,Julunt
JUA3,Tropheini,true,Simbab
JUA4,Tropheini,true,Simbab
JUB6,Eretmodini,true,Spaery
JUB7,Eretmodini,true,Spaery
JUD4,Lamprologini,true,TeldhN
JUD5,Lamprologini,true,TeldhN
ILB4,Lamprologini,true,Neomux
ILB6,Lamprologini,true,Neobre
ILB7,Lamprologini,true,Neobre
ILC1,Lamprologini,true,Lamoce
ILD3,Lamprologini,true,Lamoce
ILD9,Lamprologini,true,Julkom
ILE5,Lamprologini,true,Neokom
ILE6,Lamprologini,true,Neokom
ILH1,Lamprologini,true,Neomux
INA6,Lamprologini,true,Julkom
ILF7,Bathybatini,true,Batleo
ILF8,Benthochromini,true,Benhor
ILG7,Bathybatini,true,Batgra
LDI5,Tropheini,true,Trompi
LDI7,Tropheini,true,Trompi
LFA6,Tropheini,true,Petiko
LFA8,Tropheini,true,Petiko
LFC9,Trematocarini,true,Trezeb
LFD2,Lamprologini,true,Neocyg
LFD4,Lamprologini,true,Neocyg
LFE4,Trematocarini,true,Trezeb
LBF7,Lamprologini,true,TeldhS
LBF8,Lamprologini,true,TeldhS
JWC9,Lamprologini,true,Tellon
JWD5,Paratilapini,true,Parpol
JWE3,Heterotilapini,true,Hetbut
LEH2,Lamprologini,true,Neodev
KYE2,Haplochromini,true,Ortred
KYE7,Haplochromini,true,Ortuvi
KYG1,Haplochromini,true,Astpal
KYH4,Oreochromini,true,Oremal
A188,Lamprologini,true,Neospl
LHG4,Ectodini,true,Mdcten
LHG6,Ectodini,true,Mdcten
LHF6,Lamprologini,true,Neobif
LHF7,Lamprologini,true,Neobif
JWF3,Serranochromini,true,Phaacu
JWF4,Serranochromini,true,Sarcar
KDC6,Haplochromini,true,Ortmaz
GPB2,Bathybatini,true,Batfas
JBH4,Tropheini,true,Tromoo
JBH5,Tropheini,true,Tromoo
JWG1,Haplochromini,true,Psephi
JVH4,Ectodini,true,Xenoch
JVI5,Ectodini,true,Xenoch
JEB2,Cyprichromini,true,Cyppav
JEB4,Cyprichromini,true,Cyppav
JWI5,Chromidotilapini,true,Peltae
LFB9,Lamprologini,true,Neoese
JWF5,Serranochromini,true,Sermac
KHA7,Lamprologini,true,Neochi
JWG5,Tropheini,true,Troann
KHC4,Ectodini,true,EctspN
KHC5,Ectodini,true,EctspN
JWI6,Lamprologini,true,Neopec
JBE6,Ectodini,true,Mdcrot
JBE7,Ectodini,true,Mdcrot
JBE8,Lamprologini,true,Telbra
JBE9,Lamprologini,true,Telbra
IRD7,Ectodini,true,Ectdes
IRD8,Ectodini,true,Ectdes
IRD9,Ectodini,true,Xensin
IRE3,Ectodini,true,Xensin
LCD6,Bathybatini,true,Batfer
LCD7,Bathybatini,true,Batfer
LCF1,Tropheini,true,Trokir
LCF3,Tropheini,true,Trokir
LCF6,Tropheini,true,Petmos
LCF8,Tropheini,true,Petmos
LEF2,Benthochromini,true,BenhoM
LFI4,Ectodini,true,Ophboo
KHE6,Lamprologini,true,JulreK
LFI6,Ectodini,true,Ophboo
LGA5,Tropheini,true,TrobrK
LGA6,Tropheini,true,TrobrK
LGB5,Tropheini,true,Petrai
LGB8,Tropheini,true,Petrai
KYA1,Lamprologini,true,Neonig
KYB7,Lamprologini,true,Telbif
KYB8,Lamprologini,true,Telbif
LEI6,Cyphotilapiini,true,Cphfro
LEI9,Cyphotilapiini,true,Cphfro
IVB4,Ectodini,true,Xenbat
IVB5,Ectodini,true,Xenbat
LJD2,Haplochromini,true,Astfla
IWD7,Ectodini,true,Cunlon
IWD8,Ectodini,true,Cunlon
JYF7,Ectodini,true,Ophpar
JYG5,Ectodini,true,Ophpar
JYH3,Eretmodini,true,Tanirs
JYH7,Eretmodini,true,Tanirs
JYI8,Tropheini,true,Trobri
JZA3,Tropheini,true,Trobri
JZB7,Eretmodini,true,Spamar
JZD3,Eretmodini,true,Spamar
JZD5,Lamprologini,true,Neotoa
JZD6,Lamprologini,true,Neotoa
KCE5,Lamprologini,true,Neobou
KCE7,Tropheini,true,Simmar
KCF3,Tropheini,true,Simmar
KCG2,Lamprologini,true,Lamspe
KCG3,Lamprologini,true,Lamspe
KCI6,Lamprologini,true,NeobrM
KCI7,Lamprologini,true,NeobrM
JUH9,Lamprologini,true,Neobri
JUI1,Lamprologini,true,Neobri
JVB4,Lamprologini,true,Neomon
JVB8,Lamprologini,true,Neomon
JVC3,Tropheini,true,Tronig
JVE1,Cyprichromini,true,Cypmic
JVF2,Cyprichromini,true,Cypmic
JVH2,Ectodini,true,Lessta
JVH3,Ectodini,true,Lessta
JVI9,Lamprologini,true,Telbri
JXA4,Lamprologini,true,Telbri
JXB5,Lamprologini,true,JulmaN
GPA1,Trematocarini,true,Trenig
IZH7,Eretmodini,true,Erecya
KEH3,Lamprologini,true,Neoleu
JXC1,Lamprologini,true,JulmaN
JXD4,Lamprologini,true,Neofal
JXD7,Lamprologini,true,Neofal
JXE9,Eretmodini,true,Eremar
AXD5,Lamprologini,true,Altfas
AUA1,Ectodini,true,Auldew
AXB8,Ectodini,true,Xenspi
AUA9,Ectodini,true,Auldew
AUC4,Lamprologini,true,Varmoo
AXA7,Tropheini,true,Ctehor
AUC3,Lamprologini,true,Varmoo
AXF8,Tropheini,true,Psccur
BND5,Ectodini,true,Calmac
AVB6,Tropheini,true,Simple
JXF4,Eretmodini,true,Eremar
AUE1,Tropheini,true,Simdia
JXG8,Lamprologini,true,Lamkun
JXH2,Lamprologini,true,Lamkun
JXH4,Tropheini,true,Petort
JXH5,Tropheini,true,Petort
JXI2,Cyprichromini,true,PcybrN
JXI4,Cyprichromini,true,PcybrN
KAD2,Lamprologini,true,Leppro
KAG7,Lamprologini,true,NeoveB
KAG8,Lamprologini,true,NeoveB
KDG2,Cyphotilapiini,true,Cphfr5
LEF8,Tropheini,true,Tropol
LEF9,Tropheini,true,Tropol
Z13,Oreochromini,true,Kondik
JWD8,Cichlasomini,true,Bujvit
KFD2,Lamprologini,true,Neowal
KFD4,Lamprologini,true,Neowal
Bel09,Lamprologini,true,Chapop
KFE8,Tropheini,true,Simmrg
KFF1,Tropheini,true,Simmrg
GPH7,Tropheini,true,Petfas
JWA4,Lamprologini,true,LamorC
